STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
       5619;18980101;18980131;    5;   -999;    59.0;-999;-999;eor
       5619;18980201;18980228;    5;   -999;   202.0;-999;-999;eor
       5619;18980301;18980331;    5;   -999;    83.0;-999;-999;eor
       5619;18980401;18980430;    5;   -999;    77.0;-999;-999;eor
       5619;18980501;18980531;    5;   -999;   183.0;-999;-999;eor
       5619;18980601;18980630;    5;   -999;    80.0;-999;-999;eor
       5619;18980701;18980731;    5;   -999;   149.0;-999;-999;eor
       5619;18980801;18980831;    5;   -999;    63.0;-999;-999;eor
       5619;18980901;18980930;    5;   -999;    28.0;-999;-999;eor
       5619;18981001;18981031;    5;   -999;    75.0;-999;-999;eor
       5619;18981101;18981130;    5;   -999;    36.0;-999;-999;eor
       5619;18981201;18981231;    5;   -999;   129.0;-999;-999;eor
       5619;18990101;18990131;    5;   -999;   209.0;-999;-999;eor
       5619;18990201;18990228;    5;   -999;    48.0;-999;-999;eor
       5619;18990301;18990331;    5;   -999;    58.0;-999;-999;eor
       5619;18990401;18990430;    5;   -999;   196.0;-999;-999;eor
       5619;18990501;18990531;    5;   -999;   101.0;-999;-999;eor
       5619;18990601;18990630;    5;   -999;    38.0;-999;-999;eor
       5619;18990701;18990731;    5;   -999;   106.0;-999;-999;eor
       5619;18990801;18990831;    5;   -999;    21.0;-999;-999;eor
       5619;18990901;18990930;    5;   -999;   181.0;-999;-999;eor
       5619;18991001;18991031;    5;   -999;    56.0;-999;-999;eor
       5619;18991101;18991130;    5;   -999;    58.0;-999;-999;eor
       5619;18991201;18991231;    5;   -999;    51.0;-999;-999;eor
       5619;19000101;19000131;    5;   -999;   193.0;-999;-999;eor
       5619;19000201;19000228;    5;   -999;    91.0;-999;-999;eor
       5619;19000301;19000331;    5;   -999;    24.0;-999;-999;eor
       5619;19000401;19000430;    5;   -999;    42.0;-999;-999;eor
