Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
2483;Kahler Asten;;;;;19300101;19541206;Gerätetyp unbekannt;Niederschlagsmenge, konv.;eor;
2483;Kahler Asten;8.49;51.18;835;1.5;19541207;19630630;Hellmann;Niederschlagsmenge, konv.;eor;
2483;Kahler Asten;8.49;51.18;839;1.5;19630701;19800430;Hellmann;Niederschlagsmenge, konv.;eor;
2483;Kahler Asten;8.49;51.18;839;2;19800501;19920824;Hellmann;Niederschlagsmenge, konv.;eor;
2483;Kahler Asten;8.49;51.18;839;1;19951025;20040427;Niederschlagssensor nach Joss-Tognini;Niederschlagsmenge, elektr.;eor;
2483;Kahler Asten;8.49;51.18;839;2;20040428;20060528;Niederschlagssensor nach Joss-Tognini;Niederschlagsmenge, elektr.;eor;
2483;Kahler Asten;8.49;51.18;839;2;20060529;20060530;PLUVIO;Niederschlagsmenge, elektr.;eor;
2483;Kahler Asten;8.49;51.18;839;2;20060531;20190826;PLUVIO;Niederschlagsmenge, elektr.;eor;
2483;Kahler Asten;8.49;51.18;839;2;20190827;20200807;rain[e]H3, Wägetechnologie;Niederschlagsmenge, elektr.;eor;
2483;Kahler Asten;8.49;51.18;839;2;20200811;20210327;rain[e]H3, Wägetechnologie;Niederschlagsmenge, elektr.;eor;
generiert: 15.04.2021 --  Deutscher Wetterdienst  --
