STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       2483;19290101;19291231;    1;  5.49;   4.66;    7.86;    1.90;    3.41;-999;-999;  28.1; -24.0;    1;-999;-999;eor
       2483;19300101;19301231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    1;  1634.6;-999;eor
       2483;19310101;19311231;    1;  6.10;   4.36;    7.06;    1.98;    4.14;-999;-999;  23.8; -14.1;    1;  1412.9;   33.6;eor
       2483;19330101;19331231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    1;  1202.9;-999;eor
       2483;19340101;19341231;    1;  5.96;   6.07;    9.33;    3.12;    4.36;-999;-999;  26.0; -11.6;    1;-999;-999;eor
       2483;19360101;19361231;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;    1;  1346.0;   58.6;eor
       2483;19370101;19371231;    1;  6.19;   5.20;    8.40;    2.56;    3.91;-999;-999;  29.2; -14.7;    1;  1266.1;   39.3;eor
       2483;19380101;19381231;    1;  6.09;   5.19;    8.60;    2.36;    4.09;-999;-999;  26.9; -20.9;    1;  1358.9;   45.6;eor
       2483;19390101;19391231;    1;  6.20;   4.79;    8.03;    2.11;    3.91;-999;-999;  25.8; -14.7;    1;  1409.9;-999;eor
       2483;19410101;19411231;    1;  6.05;   3.85;    7.35;    1.04;    4.11;-999;-999;  28.1; -17.3;    1;  1463.8;   52.5;eor
       2483;19430101;19431231;    1;  5.84;   5.67;    9.27;    2.14;    4.48;-999;-999;  28.6; -13.5;    1;-999;-999;eor
       2483;19440101;19441231;    1;  6.37;   4.64;    7.88;    1.79;    4.45;-999;-999;  28.9; -13.2;-999;-999;-999;eor
       2483;19550101;19551231;    5;  5.95;   4.11;    7.43;    1.46;    3.27; 1428.10;-999;  25.7; -15.4;    5;  1458.8;   37.3;eor
       2483;19560101;19561231;    5;  6.21;   3.34;    6.64;    0.77;    3.37; 1265.00;-999;  23.5; -26.0;    5;  1708.4;   48.5;eor
       2483;19570101;19571231;    5;  6.00;   5.20;    8.49;    2.58;    3.10; 1519.90;-999;  30.4; -12.4;    5;  1619.5;   41.8;eor
       2483;19580101;19581231;    5;  6.29;   4.65;    7.80;    2.13;    3.31; 1321.40;-999;  25.0; -12.8;    5;  1833.6;   40.9;eor
       2483;19590101;19591231;    5;  4.88;   6.39;   10.29;    3.36;    3.29; 2051.30;-999;  30.1; -11.1;    5;   896.7;   32.9;eor
       2483;19600101;19601231;    5;  6.36;   4.87;    7.97;    2.51;    3.34; 1142.90;-999;  23.5; -16.0;    5;  1581.7;   62.1;eor
       2483;19610101;19611231;    5;  6.05;   5.62;    8.98;    3.05;    3.43; 1301.80;-999;  27.2; -16.1;    5;  1727.6;   44.0;eor
       2483;19620101;19621231;    5;  6.10;   3.45;    6.77;    0.89;    3.63; 1243.70;-999;  23.6; -17.3;    5;  1380.8;   47.6;eor
       2483;19630101;19631231;    5;  5.69;   3.88;    7.43;    1.04;    3.36; 1530.60;-999;  28.1; -18.0;    5;  1095.4;   36.2;eor
       2483;19640101;19641231;    5;  5.61;   4.95;    8.42;    2.04;    3.45; 1636.30;-999;  28.3; -13.3;    5;  1023.3;   30.2;eor
       2483;19650101;19651231;    5;  6.19;   3.93;    7.16;    1.44;    3.55; 1198.50;-999;  24.0; -13.1;    5;  1842.6;   68.8;eor
       2483;19660101;19661231;    5;  6.37;   5.08;    8.30;    2.60;    3.39; 1223.60;-999;  27.7; -17.0;    5;  1807.6;   57.4;eor
       2483;19670101;19671231;    5;  6.10;   5.36;    8.67;    2.47;    3.64; 1413.00;-999;  25.9; -13.0;    5;  1479.6;   47.0;eor
       2483;19680101;19681231;    5;  6.14;   4.69;    7.98;    1.84;    3.46; 1324.10;-999;  25.2; -19.5;    5;  1457.1;   66.4;eor
       2483;19690101;19691231;    5;  6.13;   4.58;    7.86;    1.69;    3.39; 1351.00;-999;  26.7; -15.0;    5;  1366.1;   44.8;eor
       2483;19700101;19701231;    5;  6.34;   4.38;    7.57;    1.56;    3.64; 1238.90;-999;  24.6; -15.0;    5;  1903.9;   43.2;eor
       2483;19710101;19711231;    5;  5.81;   5.27;    9.02;    2.13;    3.47; 1579.90;  27.6;  27.8; -16.6;    5;  1008.5;   62.9;eor
       2483;19720101;19721231;    5;  5.90;   4.59;    7.93;    1.87;    3.53; 1337.70;  42.1;  27.3; -18.1;    5;  1077.0;   40.9;eor
       2483;19730101;19731231;    5;  5.88;   4.98;    8.30;    2.05;    3.65; 1528.70;  38.0;  27.0; -14.0;    5;  1414.7;   37.2;eor
       2483;19740101;19741231;    5;  6.44;   5.08;    8.34;    2.42;    3.72; 1216.30;  34.5;  28.3;  -7.8;    5;  1961.8;   46.0;eor
       2483;19750101;19751231;    5;  5.92;   5.55;    8.83;    2.82;    3.51; 1536.60;  31.7;  26.5; -10.2;    5;  1240.2;   37.3;eor
