Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  2629;   14.00; 51.7950;  6.1521;18480101;18800131;Kleve
  2629;   50.00; 51.7800;  6.1400;18800201;18980831;Kleve
  2629;   14.00; 51.7950;  6.1521;18980901;19050731;Kleve
  2629;   46.00; 51.7750;  6.1190;19050801;19471116;Kleve
  2629;   13.00; 51.7953;  6.1536;19471117;19520831;Kleve
  2629;   44.00; 51.7799;  6.1336;19520901;19540731;Kleve
  2629;   36.00; 51.7871;  6.1361;19540801;19640113;Kleve
  2629;   22.00; 51.7906;  6.1345;19640114;19720628;Kleve
  2629;   45.00; 51.7689;  6.1457;19720629;19920531;Kleve
  2629;   46.00; 51.7612;  6.0954;19920601;        ;Kleve
